
TRACE LEVEL = 2
   2.04s TraceLog.cpp  214: Command line: ""
   2.36s ContentLoadi   90: LMU Warning : `Chat:` at line 166 is a redundant key (default value is already `Chat:`) 
   2.36s ContentLoadi   90: LMU Warning : `Circuit de la Sarthe` at line 168 is a redundant key (default value is already `Circuit de la Sarthe`) 
   2.36s ContentLoadi   90: LMU Warning : `Circuit de Spa-Francorchamps` at line 169 is a redundant key (default value is already `Circuit de Spa-Francorchamps`) 
   2.36s ContentLoadi   90: LMU Warning : `cm` at line 176 is a redundant key (default value is already `cm`) 
   2.36s ContentLoadi   90: LMU Warning : `Cockpit` at line 177 is a redundant key (default value is already `Cockpit`) 
   2.36s ContentLoadi   90: LMU Warning : `"COMPOUND:" = "REIFENMISCHUNG:"` at line 179 is a duplicate key entry (previous entry `"COMPOUND:" = "REIFENMISCHUNG:"`) 
   2.36s ContentLoadi   90: LMU Warning : `DNF` at line 212 is a redundant key (default value is already `DNF`) 
   2.36s ContentLoadi   90: LMU Warning : `DQ` at line 221 is a redundant key (default value is already `DQ`) 
   2.36s ContentLoadi   90: LMU Warning : `Event:` at line 254 is a redundant key (default value is already `Event:`) 
   2.36s ContentLoadi   90: LMU Warning : `Floyd Vanwall Racing Team 4:BL` at line 284 is a redundant key (default value is already `Floyd Vanwall Racing Team 4:BL`) 
   2.36s ContentLoadi   90: LMU Warning : `Floyd Vanwall Racing Team 4:BR` at line 285 is a redundant key (default value is already `Floyd Vanwall Racing Team 4:BR`) 
   2.36s ContentLoadi   90: LMU Warning : `Floyd Vanwall Racing Team 4:LM` at line 286 is a redundant key (default value is already `Floyd Vanwall Racing Team 4:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `Floyd Vanwall Racing Team 4:MF` at line 287 is a redundant key (default value is already `Floyd Vanwall Racing Team 4:MF`) 
   2.36s ContentLoadi   90: LMU Warning : `FreeLens:` at line 301 is a redundant key (default value is already `FreeLens:`) 
   2.36s ContentLoadi   90: LMU Warning : `FTTC 35M` at line 311 is a redundant key (default value is already `FTTC 35M`) 
   2.36s ContentLoadi   90: LMU Warning : `"Fuel usage" = "Kraftstoffverbrauch"` at line 318 is a duplicate key entry (previous entry `"Fuel usage" = "Kraftstoffverbrauch"`) 
   2.36s ContentLoadi   90: LMU Warning : `g` at line 328 is a redundant key (default value is already `g`) 
   2.36s ContentLoadi   90: LMU Warning : `gal` at line 329 is a redundant key (default value is already `gal`) 
   2.36s ContentLoadi   90: LMU Warning : `GMB Motorsport #55:LM` at line 338 is a redundant key (default value is already `GMB Motorsport #55:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `in` at line 372 is a redundant key (default value is already `in`) 
   2.36s ContentLoadi   90: LMU Warning : Unsupported control sequence in escaping backslash `r` at line 381 
   2.36s ContentLoadi   90: LMU Warning : `kg` at line 390 is a redundant key (default value is already `kg`) 
   2.36s ContentLoadi   90: LMU Warning : `kPa` at line 392 is a redundant key (default value is already `kPa`) 
   2.36s ContentLoadi   90: LMU Warning : `LAN` at line 397 is a redundant key (default value is already `LAN`) 
   2.36s ContentLoadi   90: LMU Warning : `lb` at line 413 is a redundant key (default value is already `lb`) 
   2.36s ContentLoadi   90: LMU Warning : `lbf/in` at line 414 is a redundant key (default value is already `lbf/in`) 
   2.36s ContentLoadi   90: LMU Warning : `lbs` at line 415 is a redundant key (default value is already `lbs`) 
   2.36s ContentLoadi   90: LMU Warning : `Le Mans Ultimate` at line 416 is a redundant key (default value is already `Le Mans Ultimate`) 
   2.36s ContentLoadi   90: LMU Warning : `Longest Line` at line 437 is a redundant key (default value is already `Longest Line`) 
   2.36s ContentLoadi   90: LMU Warning : `m` at line 441 is a redundant key (default value is already `m`) 
   2.36s ContentLoadi   90: LMU Warning : `Map ` at line 442 is a redundant key (default value is already `Map `) 
   2.36s ContentLoadi   90: LMU Warning : `Map` at line 443 is a redundant key (default value is already `Map`) 
   2.36s ContentLoadi   90: LMU Warning : `Medium` at line 449 is a redundant key (default value is already `Medium`) 
   2.36s ContentLoadi   90: LMU Warning : `mm` at line 457 is a redundant key (default value is already `mm`) 
   2.36s ContentLoadi   90: LMU Warning : `mph` at line 465 is a redundant key (default value is already `mph`) 
   2.36s ContentLoadi   90: LMU Warning : `N` at line 467 is a redundant key (default value is already `N`) 
   2.36s ContentLoadi   90: LMU Warning : `N/mm` at line 469 is a redundant key (default value is already `N/mm`) 
   2.36s ContentLoadi   90: LMU Warning : `Normal` at line 488 is a redundant key (default value is already `Normal`) 
   2.36s ContentLoadi   90: LMU Warning : `NRG` at line 491 is a redundant key (default value is already `NRG`) 
   2.36s ContentLoadi   90: LMU Warning : `on the grid by the administrator` at line 497 is a redundant key (default value is already `on the grid by the administrator`) 
   2.36s ContentLoadi   90: LMU Warning : `P1` at line 518 is a redundant key (default value is already `P1`) 
   2.36s ContentLoadi   90: LMU Warning : `P2` at line 520 is a redundant key (default value is already `P2`) 
   2.36s ContentLoadi   90: LMU Warning : `P3` at line 521 is a redundant key (default value is already `P3`) 
   2.36s ContentLoadi   90: LMU Warning : `P4` at line 522 is a redundant key (default value is already `P4`) 
   2.36s ContentLoadi   90: LMU Warning : `P5` at line 523 is a redundant key (default value is already `P5`) 
   2.36s ContentLoadi   90: LMU Warning : `Paddock` at line 524 is a redundant key (default value is already `Paddock`) 
   2.36s ContentLoadi   90: LMU Warning : `Ping:` at line 537 is a redundant key (default value is already `Ping:`) 
   2.36s ContentLoadi   90: LMU Warning : `Plugin Deleted Vehicle` at line 563 is a redundant key (default value is already `Plugin Deleted Vehicle`) 
   2.36s ContentLoadi   90: LMU Warning : `PM` at line 564 is a redundant key (default value is already `PM`) 
   2.36s ContentLoadi   90: LMU Warning : `Porsche 911 RSR-19 #00` at line 565 is a redundant key (default value is already `Porsche 911 RSR-19 #00`) 
   2.36s ContentLoadi   90: LMU Warning : `POS:` at line 566 is a redundant key (default value is already `POS:`) 
   2.36s ContentLoadi   90: LMU Warning : `Position` at line 567 is a redundant key (default value is already `Position`) 
   2.36s ContentLoadi   90: LMU Warning : `psi` at line 578 is a redundant key (default value is already `psi`) 
   2.36s ContentLoadi   90: LMU Warning : `Qualifying` at line 582 is a redundant key (default value is already `Qualifying`) 
   2.36s ContentLoadi   90: LMU Warning : `R` at line 591 is a redundant key (default value is already `R`) 
   2.36s ContentLoadi   90: LMU Warning : `"Race" = "Rennen"` at line 600 is a duplicate key entry (previous entry `"Race" = "Rennen"`) 
   2.36s ContentLoadi   90: LMU Warning : `"Rain" = "Regen"` at line 603 is a duplicate key entry (previous entry `"Rain" = "Regen"`) 
   2.36s ContentLoadi   90: LMU Warning : `Real Road` at line 611 is a redundant key (default value is already `Real Road`) 
   2.36s ContentLoadi   90: LMU Warning : `s` at line 655 is a redundant key (default value is already `s`) 
   2.36s ContentLoadi   90: LMU Warning : `S1` at line 656 is a redundant key (default value is already `S1`) 
   2.36s ContentLoadi   90: LMU Warning : `S2` at line 657 is a redundant key (default value is already `S2`) 
   2.36s ContentLoadi   90: LMU Warning : `S3` at line 658 is a redundant key (default value is already `S3`) 
   2.36s ContentLoadi   90: LMU Warning : `Safety-car` at line 660 is a redundant key (default value is already `Safety-car`) 
   2.36s ContentLoadi   90: LMU Warning : `Sebring International Raceway` at line 667 is a redundant key (default value is already `Sebring International Raceway`) 
   2.36s ContentLoadi   90: LMU Warning : `"sec" = "Sek"` at line 669 is a duplicate key entry (previous entry `"sec" = "Sek"`) 
   2.36s ContentLoadi   90: LMU Warning : `Showroom` at line 702 is a redundant key (default value is already `Showroom`) 
   2.36s ContentLoadi   90: LMU Warning : `Standard` at line 724 is a redundant key (default value is already `Standard`) 
   2.36s ContentLoadi   90: LMU Warning : `STATUS: ` at line 728 is a redundant key (default value is already `STATUS: `) 
   2.36s ContentLoadi   90: LMU Warning : `Steward` at line 731 is a redundant key (default value is already `Steward`) 
   2.36s ContentLoadi   90: LMU Warning : `STOP & GO` at line 732 is a redundant key (default value is already `STOP & GO`) 
   2.36s ContentLoadi   90: LMU Warning : `Stop/Go` at line 735 is a redundant key (default value is already `Stop/Go`) 
   2.36s ContentLoadi   90: LMU Warning : `Submit ID:` at line 741 is a redundant key (default value is already `Submit ID:`) 
   2.36s ContentLoadi   90: LMU Warning : `Super` at line 743 is a redundant key (default value is already `Super`) 
   2.36s ContentLoadi   90: LMU Warning : `TEST, Chevrolet, Corvette C6 Pace Car` at line 752 is a redundant key (default value is already `TEST, Chevrolet, Corvette C6 Pace Car`) 
   2.36s ContentLoadi   90: LMU Warning : `TestPlane` at line 753 is a redundant key (default value is already `TestPlane`) 
   2.36s ContentLoadi   90: LMU Warning : `TF Sport #72:LM` at line 754 is a redundant key (default value is already `TF Sport #72:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `Timing` at line 764 is a redundant key (default value is already `Timing`) 
   2.36s ContentLoadi   90: LMU Warning : `"TIRES:" = "REIFEN:"` at line 769 is a duplicate key entry (previous entry `"TIRES:" = "REIFEN:"`) 
   2.36s ContentLoadi   90: LMU Warning : `up!` at line 802 is a redundant key (default value is already `up!`) 
   2.36s ContentLoadi   90: LMU Warning : `VDSL/Cable 100M` at line 817 is a redundant key (default value is already `VDSL/Cable 100M`) 
   2.36s ContentLoadi   90: LMU Warning : `Walkenhorst Motorsport #100:LM` at line 842 is a redundant key (default value is already `Walkenhorst Motorsport #100:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `Wind` at line 859 is a redundant key (default value is already `Wind`) 
   2.36s ContentLoadi   90: LMU Warning : `Stints` at line 916 is a redundant key (default value is already `Stints`) 
   3.71s setup.cpp    3311: Reset veh file filter
   3.71s ContentLoadi   90: LMU Warning : The following vehicles don't have a default livery set: The following vehicles have more than 1 default set: classes: ELMS2025, LMP3, Ligier_JS_P325. No17 |  
   4.71s tire_manager 1476: done with tires
   4.71s setup.cpp    3311: Reset veh file filter
   4.71s hwinput.cpp  1475: Initialized gamepad. Gamepad is currently disconnected.
   4.71s hwinput.cpp  9439: Searching and loading presets
   4.75s hwinput.cpp  9500: Applying presets to config
   4.75s hwinput.cpp  8865: Trying to load config: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\current controls.json
   4.76s hwinput.cpp  8815: Loading file C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\\direct input.json
   4.78s hwinput.cpp  9500: Applying presets to config
   4.78s hwinput.cpp  4120: Applying config
   4.78s hwinput.cpp  9500: Applying presets to config
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Left Trigger to min 0.117647, max 1.000000, center 0.000000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Right Trigger to min 0.117647, max 1.000000, center 0.000000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb X+ to min 0.619770, max 1.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb X- to min 0.380230, max 0.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb Y+ to min 0.619770, max 1.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb Y- to min 0.380230, max 0.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb X+ to min 0.632588, max 1.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb X- to min 0.367412, max 0.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb Y+ to min 0.632588, max 1.000000, center 0.500000
   4.78s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb Y- to min 0.367412, max 0.000000, center 0.500000
   4.78s hwinput.cpp  3038: Restarting ffb system.
   4.78s hwinput.cpp  8955: Saving direct input config to: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\\direct input.json
   4.78s hwinput.cpp  8913: Saving main config to: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\\current controls.json
   4.79s plrfile.cpp  1149: Attempting to save to C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\Settings.TMP
   4.79s plrfile.cpp  1166: Retcode: 0 for renaming to C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\Settings.JSON
   4.79s plrfile.cpp  1149: Attempting to save to C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\Settings.TMP
   4.79s plrfile.cpp  1166: Retcode: 0 for renaming to C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\UserData\player\Settings.JSON
   4.81s Championship  474: No settings found in champ file
   4.81s SharedMemory  104: SharedMemoryManager initialized.
   4.81s SharedMemory   99: SharedMemory initialized
   4.81s vidman.cpp   1436: Entered VidMan::Enter()
   5.00s vidman.cpp   1672: CEF:GPU rendering enabled
   5.00s vidman.cpp   1672: CEF:GPU present enabled
   5.00s vidman.cpp   1672: CEF:Running in sync mode
   5.07s vidman.cpp   1672: CEF:context initialized Ok!
   5.42s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01BFF20C0(29,20): warning X3578: Output value 'main' is not completely initialized

   5.42s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01BFF20C0(29,20): warning X3578: Output value 'main' is not completely initialized

   5.42s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01BFF20C0(29,20): warning X3578: Output value 'main' is not completely initialized

   5.42s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01BA402D0(31,20): warning X3578: Output value 'main' is not completely initialized

   5.43s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01BA402D0(31,20): warning X3578: Output value 'main' is not completely initialized

   5.43s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A0BDD3D0E0(20,20): warning X3578: Output value 'main' is not completely initialized

   5.43s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01BFF20C0(29,20): warning X3578: Output value 'main' is not completely initialized

   5.43s cubeDirectX1 7269: C:\Program Files (x86)\Steam\steamapps\common\Le Mans Ultimate\Shader@0x000001A01B8A1120(22,20): warning X3578: Output value 'main' is not completely initialized

   5.61s cubeDirectX1 2370: ResizeRenderTargets(3440, 1440)
   5.61s Texture.cpp   169: TextureManager::remove: texture $DEPTH RT $Z BUFFER SINGLE SAMPLE not found
   5.61s Texture.cpp   169: TextureManager::remove: texture $DEPTH RT $MOTIONBLURMASK not found
   5.61s Texture.cpp   169: TextureManager::remove: texture $REAL ACTUAL BACK BUFFER not found
   5.61s Texture.cpp   169: TextureManager::remove: texture $DEPTH RT $REAL ACTUAL BACK BUFFER not found
   5.62s cubeDirectX1 2393: mOverlay->GetD3D11Overlay().Fixup(*mpDeviceContext, 3440, 1440);
   5.68s config.cpp   1032: Retcode 0 for renaming to UserData\Config_DX11.ini
   5.71s hwinput.cpp  7987: Entered HWInput::Enter()
   5.71s hwinput.cpp  7988: HKL=0x04070407
   5.81s hwinput.cpp  1940: Initialized Logitech Steering SDK
   5.95s hwinput.cpp  8040: Successfully initialised GameInput
   5.95s hwinput.cpp  1485: Resetting gamepad
   5.95s hwinput.cpp  1475: Initialized gamepad. Gamepad is currently disconnected.
   5.95s hwinput.cpp   595: Initialized keyboard with NONEXCLUSIVE | BACKGROUND 
   6.12s hwinput.cpp  5537: Trying to add device with guid {61CF6DC0-F243-11F0-8001-444553540000}
   6.12s hwinput.cpp  2112: Initializing DI Controller...
   6.12s hwinput.cpp  1942: Failed to initialize Logitech Steering SDK
   6.12s hwinput.cpp  2165: Controller name: P2000 Haptic / P2000 Haptic
   6.26s hwinput.cpp  2186: Controller unique name: P2000 Haptic-2551E35938BECCC4
   6.26s InputSampler  210: Creating High Precision Input sampler for P2000 Haptic with 3 axes
   6.26s InputSampler  308: Mapping axis Z-Rotation (5) to GI usage index 53 (0)
   6.26s InputSampler  308: Mapping axis Y-Rotation (4) to GI usage index 52 (1)
   6.26s InputSampler  308: Mapping axis X-Rotation (3) to GI usage index 51 (2)
   6.26s InputSampler  239: Remapping axis 3 to GI usage index 51
   6.26s InputSampler  239: Remapping axis 4 to GI usage index 52
   6.26s InputSampler  239: Remapping axis 5 to GI usage index 53
   6.26s hwinput.cpp  2027: Failed to read steering wheel range from driver. Using configured maximum steering wheel angle of 900 degrees.
   6.26s hwinput.cpp  2235: Initialization successfull. Device - Name:P2000 Haptic-2551E35938BECCC4  VIPDID 9023670  InstanceID:{61CF6DC0-F243-11F0-8001-444553540000}
   6.26s hwinput.cpp  2438: Muting Force Feedback on P2000 Haptic-2551E35938BECCC4. pM
   6.26s hwinput.cpp  5484: Adding device to list of known devices: P2000 Haptic-2551E35938BECCC4
   6.26s hwinput.cpp  4120: Applying config
   6.26s hwinput.cpp  9500: Applying presets to config
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Left Trigger to min 0.117647, max 1.000000, center 0.000000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Right Trigger to min 0.117647, max 1.000000, center 0.000000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb X+ to min 0.619770, max 1.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb X- to min 0.380230, max 0.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb Y+ to min 0.619770, max 1.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb Y- to min 0.380230, max 0.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb X+ to min 0.632588, max 1.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb X- to min 0.367412, max 0.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb Y+ to min 0.632588, max 1.000000, center 0.500000
   6.26s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb Y- to min 0.367412, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2027: Failed to read steering wheel range from driver. Using configured maximum steering wheel angle of 900 degrees.
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for X+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for X- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Y+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Y- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Z+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Z- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RX+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RX- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RY+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RY- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RZ+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RZ- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for S0+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for S0- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for S1+ to min 0.500000, max 1.000000, center 0.500000
   6.26s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for S1- to min 0.500000, max 0.000000, center 0.500000
   6.26s hwinput.cpp  3038: Restarting ffb system.
   6.26s hwinput.cpp  5537: Trying to add device with guid {8A28D010-D5DB-11F0-8002-444553540000}
   6.26s hwinput.cpp  2112: Initializing DI Controller...
   6.26s hwinput.cpp  1942: Failed to initialize Logitech Steering SDK
   6.26s hwinput.cpp  2165: Controller name: CONSPIT 300GT / CONSPIT 300GT
   6.40s hwinput.cpp  2186: Controller unique name: CONSPIT 300GT-B84DF9363E4C8D84
   6.40s hwinput.cpp  2276: Disabled high precision input sampler for device CONSPIT 300GT
   6.40s hwinput.cpp  2027: Failed to read steering wheel range from driver. Using configured maximum steering wheel angle of 900 degrees.
   6.40s hwinput.cpp  2235: Initialization successfull. Device - Name:CONSPIT 300GT-B84DF9363E4C8D84  VIPDID E3514  InstanceID:{8A28D010-D5DB-11F0-8002-444553540000}
   6.40s hwinput.cpp  2438: Muting Force Feedback on CONSPIT 300GT-B84DF9363E4C8D84. pM
   6.40s hwinput.cpp  5484: Adding device to list of known devices: CONSPIT 300GT-B84DF9363E4C8D84
   6.40s hwinput.cpp  4120: Applying config
   6.40s hwinput.cpp  9500: Applying presets to config
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Left Trigger to min 0.117647, max 1.000000, center 0.000000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Right Trigger to min 0.117647, max 1.000000, center 0.000000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb X+ to min 0.619770, max 1.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb X- to min 0.380230, max 0.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb Y+ to min 0.619770, max 1.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Left Thumb Y- to min 0.380230, max 0.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb X+ to min 0.632588, max 1.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb X- to min 0.367412, max 0.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb Y+ to min 0.632588, max 1.000000, center 0.500000
   6.40s hwinput.cpp  1911: Setting gamepad axis config for Right Thumb Y- to min 0.367412, max 0.000000, center 0.500000
   6.40s hwinput.cpp  2027: Failed to read steering wheel range from driver. Using configured maximum steering wheel angle of 900 degrees.
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for X+ to min 0.500000, max 1.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for X- to min 0.500000, max 0.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Y+ to min 0.500000, max 1.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Y- to min 0.500000, max 0.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Z+ to min 0.500000, max 1.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for Z- to min 0.500000, max 0.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RX+ to min 0.500000, max 1.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RX- to min 0.500000, max 0.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RY+ to min 0.500000, max 1.000000, center 0.500000
   6.40s hwinput.cpp  2665: Setting direct input axis config on P2000 Haptic-2551E35938BECCC4 for RY- to min 0.500000, max 0.000000, center 0.500000
